aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
Tak,Opel,2.0,Osobowe,Czarny,PLN,5,Na przednie koła,,Diesel,J (2009-2015),165,186454,Astra,Tak,Niemcy,22900,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-sport-cosmo-2-0-165koni2012r-navipdchold-ID6DKxdq.html#4273bd9759,Używane,2012
,Opel,1.6,Osobowe,Szary,PLN,5,,,Benzyna,J (2009-2015),115,87000,Astra,,,31900,,Osoby prywatnej,Automatyczna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-ksenon-navi-chrom-87-tys-km-jak-nowa-z-niemiec-ID6DLum4.html#4273bd9759,Używane,2011
,Opel,2.0,Osobowe,Czarny,PLN,5,Na przednie koła,,Diesel,J (2009-2015),160,246000,Astra,,,20999,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-2-0cdti-navichrom-skora-alu-17-ID6DJP4b.html#4273bd9759,Używane,2011
Tak,Opel,1.2,Osobowe,Biały,PLN,5,Na przednie koła,,Benzyna,K (2015-),110,9700,Astra,Tak,Polska,62900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-opel-astra-v-gwarancja-fabryczna-do-2024-roku-ID6DBW7p.html#4273bd9759,Używane,2019
Tak,Opel,1.7,Osobowe,Biały,PLN,5,,,Diesel,J (2009-2015),110,215000,Astra,Tak,,24400,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-kombi-lift-1-7-cdti-nawigacja-parktronic-bardzo-zadbany-ID6DKxcA.html#4273bd9759,Używane,2014
Tak,Opel,1.6,Osobowe,Niebieski,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,90000,Astra,Tak,Polska,50900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-gwarancja-producenta-110-koni-lakier-oryginal-1-wl-salon-pl-fv-23-ID6DCbUC.html#4273bd9759,Używane,2019
,Opel,2.0,Osobowe,Szary,PLN,5,Na przednie koła,,Diesel,J (2009-2015),160,180647,Astra,,,25600,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-sport-tourer-2-0-cdti-160km-salon-pl-biksenon-tempomat-ID6DLwzv.html#4273bd9759,Używane,2011
,Opel,1.7,Osobowe,Niebieski,PLN,5,Na przednie koła,,Diesel,J (2009-2015),110,250800,Astra,,,17900,5,Osoby prywatnej,Manualna,Auta miejskie,https://www.otomoto.pl/oferta/opel-astra-polski-salon-nawigacja-zadbany-bezwypadkowy-czujniki-parkowania-ID6DKx95.html#4273bd9759,Używane,2010
Tak,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,176000,Astra,Tak,Polska,39500,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6cdti-salon-polska-ID6DLuUb.html#4273bd9759,Używane,2018
,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,,Diesel,K (2015-),110,66000,Astra,,Polska,51300,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-v-1-6-diesel-kombi-ID6DKx49.html#4273bd9759,Używane,2018
,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,,Benzyna,G (1998-2009),105,234000,Astra,Tak,,8999,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-astra-g-import-niemcy-1-6-benz-ID6DLwcR.html#4273bd9759,Używane,2004
Tak,Opel,1.4,Osobowe,Niebieski,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),120,78833,Astra,Tak,Niemcy,34600,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-jedyny-taki-1-4-turbo-benzyna-120-km-oszczedny-a-jak-potrzeba-szybki-ID6DLo7X.html#4273bd9759,Używane,2012
Tak,Opel,1.6,Osobowe,Niebieski,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,168000,Astra,,Niemcy,41800,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-ledy-radar-navi-alu-el-fotel-lakier-perla-bezwypadkowy-ID6DHVbB.html#0b79d938e2,Używane,2016
,Opel,1.0,Osobowe,Inny kolor,PLN,5,Na przednie koła,,Benzyna,K (2015-),90,25800,Astra,,,32900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-astra-2018-navitempomatelektrykafull-maly-przebieg-ID6DK7LJ.html#62ae6e5d25,Używane,2018
Tak,Opel,1.4,Osobowe,Brązowy,PLN,5,Na przednie koła,,Benzyna,K (2015-),150,28970,Astra,,,57700,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-cosmo-1-4-turbo-150-km-fv-23-full-led-bardzo-bogate-wyposazenie-ID6DASyg.html#62ae6e5d25,Używane,2017
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,80000,Astra,Tak,Polska,49900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-gwarancja-producenta-110-koni-1-wl-salon-pl-fv-23-ID6DB2dW.html#62ae6e5d25,Używane,2019
Tak,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),100,169000,Astra,Tak,Francja,22900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4-benzyna-2011-rok-super-stan-serwis-po-oplatach-gwarancja-ID6DLeD4.html#62ae6e5d25,Używane,2011
Tak,Opel,1.4,Osobowe,Zielony,PLN,5,Na przednie koła,,Benzyna,K (2015-),125,46406,Astra,Tak,,46900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-klima-auto-bluetooth-tempomat-serwis-aso-ID6DHFSd.html#62ae6e5d25,Używane,2016
Tak,Opel,1.6,Osobowe,Niebieski,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,136000,Astra,Tak,Polska,37900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-salon-pl-1-6cdti-110km-fv23-1wl-tempomat-led-aso-gwarancja-ID6DGcmb.html#62ae6e5d25,Używane,2017
Tak,Opel,1.6,Osobowe,Brązowy,PLN,4,Na przednie koła,,Benzyna,J (2009-2015),115,115353,Astra,Tak,,43900,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-1-6-twinport-115km-fv23-polskora-alufelgi-multifunkcja-isofix-ID6DtYTu.html#4273bd9759,Używane,2016
,Opel,1.4,Osobowe,Bordowy,PLN,5,Na przednie koła,,Benzyna,F (1991-2002),60,85275,Astra,Tak,,4000,5,Osoby prywatnej,Manualna,Auta miejskie,https://www.otomoto.pl/oferta/opel-astra-sprzedam-opel-astra-1-4-1999-lub-zamienie-na-motocykl-125-na-chodzie-ID6DJCAo.html#62ae6e5d25,Używane,1999
Tak,Opel,1.4,Osobowe,Szary,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),150,14872,Astra,Tak,Polska,61900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4-150km-t-enjoy-biznes-metalik-alufelgi-2019-ID6DLdDv.html#62ae6e5d25,Używane,2019
,Opel,1.8,Osobowe,Złoty,PLN,3,Na przednie koła,,Benzyna,H (2004-2014),125,200000,Astra,,Niemcy,5700,5,Osoby prywatnej,Manualna,Coupe,https://www.otomoto.pl/oferta/opel-astra-gtc-1-8-benzyna-z-niemiec-xenon-climatronik-ID6DLuXE.html#4273bd9759,Używane,2005
,Opel,1.6,Osobowe,Szary,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),115,73056,Astra,Tak,,35500,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-115km-klima-tempomat-kierownica-wielofunkcyjna-ID6DLtBk.html#0b79d938e2,Używane,2013
Tak,Opel,1.4,Osobowe,Szary,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),100,150254,Astra,Tak,Niemcy,25750,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-4ialu-17serwis-opeloplacona3-mscgwarancjajak-nowy-ID6DJwck.html#0ed6342181,Używane,2011
,Opel,2.0,Osobowe,Czarny,PLN,5,,,Diesel,J (2009-2015),160,190000,Astra,,,27900,,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-ksenon-chrom-jak-nowa-z-niemiec-ID6DLu7B.html#0b79d938e2,Używane,2011
,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,,Diesel,K (2015-),160,190000,Astra,,,42900,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-k-1-6-cdti-biturbo-160-km-ID6DKvIT.html#0b79d938e2,Używane,2016
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,127230,Astra,Tak,Niemcy,38999,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-opel-astra-k-kombi-2016r-grzana-kierownica-itp-gwarancja-12msc-oplaty-ID6DLtCH.html#0b79d938e2,Używane,2016
