aso_service,brand,capacity,category,color,currency,doors,drive,first_owner,fuel,generation,horse_power,mileage,model,not_crashed,origin,price,seats,source,transmission,type,url,used,year
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,183000,Astra,Tak,,39500,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-k-start-stop-klima-tron-alu-navi-el-reczny-chrom-oryg-lakier-i-przeb-ID6DGhDH.html#0ed6342181,Używane,2017
,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,94688,Astra,Tak,,46500,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-navi-klimatyzacja-pdc-i-wlasciciel-ID6DJsUN.html#0ed6342181,Używane,2017
Tak,Opel,1.4,Osobowe,Szary,PLN,5,Na przednie koła,Tak,Benzyna,J (2009-2015),100,155670,Astra,Tak,,21945,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-4-100-km-climatronik-alu-felgi-tiv-2021-full-serwis-ID6DL0Yq.html#0ed6342181,Używane,2011
,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,186000,Astra,Tak,,37900,5,Osoby prywatnej,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-navi-klima-sport-czujniki-parkowania-wspomaganie-led-ID6DpS6V.html#0ed6342181,Używane,2016
,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,K (2015-),150,38951,Astra,Tak,,66500,5,Firmy,Automatyczna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-darmowa-dostawa-automat-led-klima-auto-tempomat-grzane-fotele-ID6DL2bU.html#0ed6342181,Używane,2019
,Opel,1.4,Osobowe,Szary,PLN,5,Na przednie koła,,Benzyna,K (2015-),150,9951,Astra,,Polska,62900,5,Firmy,Manualna,Auta miejskie,https://www.otomoto.pl/oferta/opel-astra-1-4-150km-enjoy-biznes-plus-metalik-pojazd-dealera-ID6DKZbw.html#0ed6342181,Używane,2019
Tak,Opel,1.4,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Benzyna,K (2015-),125,65471,Astra,Tak,Polska,54900,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-astra-v-1-4-t-gpf-enjoy-ID6DKY2k.html#0ed6342181,Używane,2018
Tak,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,44566,Astra,Tak,Polska,52000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-enjoy-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJAYC.html#0b79d938e2,Używane,2017
,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,,Diesel,K (2015-),110,103388,Astra,,,35000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-klimatronic-tempomat-parktronic-ID6DJAXB.html#0b79d938e2,Używane,2016
Tak,Opel,1.4,Osobowe,Srebrny,PLN,4,Na przednie koła,Tak,Benzyna,J (2009-2015),140,108755,Astra,Tak,Polska,29002,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-1-4-t-active-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJAXJ.html#0b79d938e2,Używane,2015
,Opel,1.4,Osobowe,Czarny,PLN,5,Na przednie koła,,Benzyna,K (2015-),150,97500,Astra,Tak,Polska,49000,5,Osoby prywatnej,Automatyczna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-opel-astra-1-4t-ID6DLs4D.html#0b79d938e2,Używane,2017
Tak,Opel,1.6,Osobowe,Brązowy,PLN,5,Na przednie koła,,Diesel,K (2015-),160,66287,Astra,Tak,Polska,44000,5,Firmy,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-bicdti-salon-polska-serwis-aso-navi-klimatronic-tempomat-ID6DJAYx.html#0b79d938e2,Używane,2016
,Opel,1.6,Osobowe,Inny kolor,PLN,4,Na przednie koła,,Benzyna,J (2009-2015),115,31000,Astra,Tak,Polska,47999,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-polski-salon-benzyna-1-6-bogate-wyposazenie-fv-vat-ID6Dy8JH.html#0e0dcdce4b,Używane,2018
,Opel,1.4,Osobowe,Srebrny,PLN,5,Na przednie koła,,Benzyna+LPG,J (2009-2015),140,149640,Astra,,Polska,30000,5,Firmy,Manualna,Sedan,https://www.otomoto.pl/oferta/opel-astra-1-4-t-salon-polska-gaz-skora-klima-tempomat-parktronic-ID6DJAXf.html#0b79d938e2,Używane,2017
Tak,Opel,1.6,Osobowe,Srebrny,PLN,5,,Tak,Diesel,K (2015-),95,106124,Astra,Tak,Polska,38900,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-m-2017r-salon-polska-iwlasciciel-serwisowana-gwarancja-ID6DjU0d.html#0e0dcdce4b,Używane,2016
Tak,Opel,1.6,Osobowe,Biały,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,144741,Astra,,,42000,5,Firmy,Automatyczna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-1-wlasciciel-serwis-aso-automat-vat-23-navi-ID6DJS5z.html#0e0dcdce4b,Używane,2017
,Opel,1.0,Osobowe,Czerwony,PLN,5,Na przednie koła,,Benzyna,K (2015-),105,27261,Astra,,,54000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-0-turbo-vat-23-skora-navi-klimatronic-tempomat-parktronic-ID6DJRLM.html#0e0dcdce4b,Używane,2019
Tak,Opel,1.6,Osobowe,Szary,PLN,5,Na przednie koła,Tak,Benzyna,H (2004-2014),115,167000,Astra,Tak,,15900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-astra-1-6-16v-167-tys-km-bixenon-climatronic-perfekcyjny-stan-gwara-ID6DKKMg.html#0e0dcdce4b,Używane,2008
Tak,Opel,1.6,Osobowe,Niebieski,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),110,180665,Astra,Tak,Polska,31000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-enjoy-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJewa.html#0e0dcdce4b,Używane,2016
Tak,Opel,1.6,Osobowe,Czarny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),136,54391,Astra,,Polska,50000,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-enjoy-salon-polska-1-wlasciciel-serwis-aso-vat-23-ID6DJewl.html#0e0dcdce4b,Używane,2017
,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Diesel,K (2015-),95,131211,Astra,,Polska,33002,5,Firmy,Manualna,Kombi,https://www.otomoto.pl/oferta/opel-astra-1-6-cdti-essentia-salon-polska-1-wlasciciel-vat-23-klima-ID6DJeyQ.html#0e0dcdce4b,Używane,2017
,Opel,1.6,Osobowe,Szary,PLN,5,Na przednie koła,,Benzyna,H (2004-2014),105,150000,Astra,Tak,,11700,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-1-6-enjoy-bardzo-zadbana-gray-metallic-sliczna-polecam-ID6DKKJu.html#0e0dcdce4b,Używane,2005
Tak,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,Tak,Benzyna,J (2009-2015),115,93234,Astra,Tak,Belgia,29999,5,Firmy,Automatyczna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-100-bezwypadkowy-udokumentowany-przebieg-automat-ID6DKITi.html#0e0dcdce4b,Używane,2011
,Opel,1.6,Osobowe,Srebrny,PLN,5,Na przednie koła,,Benzyna,J (2009-2015),115,34267,Astra,,Niemcy,38900,5,Osoby prywatnej,Manualna,Kompakt,https://www.otomoto.pl/oferta/opel-astra-auto-jak-nowe-godne-polecenia-ID6DJQWb.html#0e0dcdce4b,Używane,2015
